ID,Codigo,Examen,Material
1066,CTRAG,Chlamydia trachomatis Ac.IgG,suero
1067,LPEFQC,Liquido pericardico - fisicoquimico y citologico,liquido pericardico
1068,LPCUL,Liquido pleural - directo y cultivo germenes comunes,liquido pleural
1069,LPFQC,Liquido pleural - fisicoquimico y citologico,liquido pleural
1070,LSIFQC,Liquido sinovial - fisicoquimico y citologico,liquido sinovial
1071,DNABDBI,Bacterias - Deteccion ARNr 16S,biopsia de tejido
1072,LCULHE,Listeria cultivo,hisopado endocervical
1073,LCULLCR,Listeria cultivo,LCR
1074,LCULLO,Listeria cultivo,loquios
1075,LCULLA,Listeria cultivo,líquido amniótico
1076,LCUL,Listeria cultivo,materia fecal
1077,DNABDCA,Bacterias - Deteccion ARNr 16S,cepa bacteriana
1078,DNABDLCR,Bacterias - Deteccion ARNr 16S,LCR
1079,LI,Litio,suero
1080,LKM,LKM 1 Ac.,suero
1081,LORA,Lorazepam,suero
1082,LRP4,LRP4 Ac.,suero
1083,MHUUE,M. hominis / U.urealyticum - PCR,hisopado endocervical
1084,MHUUU,M. hominis / U.urealyticum - PCR,hisopado uretral
1085,MHUUO,M. hominis / U.urealyticum - PCR,orina primer chorro
1086,MHUUOT,M. hominis / U.urealyticum - PCR,otro material
1087,MHUUS,M. hominis / U.urealyticum - PCR,semen
1088,MHGUUE,M. hominis-genitalium / U.urealyticum - PCR,hisopado endocervical
1089,MHGUUU,M. hominis-genitalium / U.urealyticum - PCR,hisopado uretral
1090,MHGUUO,M. hominis-genitalium / U.urealyticum - PCR,orina primer chorro
1091,MHGUUOT,M. hominis-genitalium / U.urealyticum - PCR,otro material
1092,MHGUUS,M. hominis-genitalium / U.urealyticum - PCR,semen
1093,MCK,Macro CK,suero
1094,MAMI,Macroamilasa,suero
1095,MPRL,Macroprolactina,suero
1096,MAG,MAG Ac.IgM,suero
1097,METHIPO,Acido Metil Hipurico,orina post jornada laboral
1098,DNABDLP,Bacterias - Deteccion ARNr 16S,liquido pericardio
1099,METMAL24,Acido Metil Malonico,orina representativa de 24 h
1100,DNABDLPL,Bacterias - Deteccion ARNr 16S,líquido pleural
1101,MG2,Magnesio,orina 2 h
1102,MG24,Magnesio,orina 24 h
1103,MGL,Magnesio,orina Litro
1104,MG,Magnesio,suero
1105,CTRAM,Chlamydia trachomatis Ac.IgM,suero
1106,MICOFEN,Acido Micofenolico,suero
1107,DNABLS,Bacterias - Deteccion ARNr 16S,líquido sinovial
1108,CTRAPCHC,Chlamydia trachomatis PCR,hisopado conjuntival
1109,DNABDO,Bacterias - Deteccion ARNr 16S,orina
1110,MUCO,Acido Muconico,orina post jornada laboral
1111,MANGAO,Manganeso,orina post jornada laboral
1112,MANGA,Manganeso,sangre heparina
1113,MARTIPS,MAR Test indirecto,plasma seminal
1114,MARTI,MAR Test indirecto,suero
1115,DNABDOT,Bacterias - Deteccion ARNr 16S,otro material
1116,ORO24,Acido Orotico,orina representativa de 24 h
1117,TIPIMOBA,Bacterias - Secuenciacion ARNr 16S,producto de PCR
1118,TIPIGER,Bacterias - Tipificacion Bioquimica,cepa bacteriana
1119,AMI,Amilasa,suero
1120,OXA2,Acido Oxalico,orina 2 h
1121,OXA24,Acido Oxalico,orina 24 h
1122,PAIB,PAI Biologico,plasma citrato
1123,CALRM,CALR - mutaciones exon 9,medula osea EDTA
1124,HEXA25,"2,5 Hexanodiona",orina post jornada laboral
1125,AMO24,Amonio,orina 24 h
1126,AMOL,Amonio,orina Litro
1127,AMOO,Amonio,orina
1128,MDMA,MDMA - Metilendioximetanfetamina,orina
1129,ALDOS,Aldosterona,suero
1130,MELA,Melanina,orina
1131,MEBA,Membrana Basal Glomerular Ac.,suero
1132,MENIAG,Meningitis Ag bacterianos,LCR
1133,MENIAGO,Meningitis Ag bacterianos,orina
1134,AMOPLA,Amonio,plasma EDTA
1135,OXAL,Acido Oxalico,orina litro
1136,TIPVITEK,Bacterias tipificacion bioquímica - Sistema VITEK,cepa bacteriana
1137,BRUGADA,Canalopatia - Sindrome de Brugada,sangre EDTA
1138,CTRAPCHU,Chlamydia trachomatis PCR,hisopado uretral
1139,MERCUO,Mercurio,orina post jornada laboral
1140,MERCU,Mercurio,suero
1141,CTRAPCOP,Chlamydia trachomatis PCR,orina primer chorro
1142,METAS,Metadona Screening,orina
1143,METAHB,Metahemoglobina,sangre heparina
1144,QTCORTO,Canalopatia - Sindrome QT corto,sangre EDTA
1145,MET24,Metanefrinas fraccionadas,orina 24 h
1146,METL,Metanefrinas fraccionadas,orina
1147,METAPLA,Metanefrinas fraccionadas,plasma EDTA
1148,METO,Metanol - Alcohol Metilico,orina
1149,TTR,Amiloidosis hereditaria,suero
1150,HMPVAN,Metapneumovirus humano PCR,aspirado nasofaríngeo
1151,HMPVAT,Metapneumovirus humano PCR,aspirado traqueal
1152,HMPVHN,Metapneumovirus humano PCR,hisopado nasofaríngeo
1153,HMPVLB,Metapneumovirus humano PCR,lavado broncoalveolar
1154,MEC,Metil etil cetona,orina post jornada laboral
1155,MTHFRH,Metilentetrahidrofolato Reductasa Termolabil,sangre EDTA
1156,MTX,Metotrexato,suero
1157,TIPIMOMI,Micobacterias - Secuenciacion gyrB,cepa bacteriana
1158,MICPCRBI,Micobacterias atipicas PCR,biopsia de tejido
1159,MICPCRES,Micobacterias atipicas PCR,esputo
1160,MICPCRLB,Micobacterias atipicas PCR,lavado bronqueoalveolar
1161,MICPCRLC,Micobacterias atipicas PCR,LCR
1162,MICPCRLP,Micobacterias atipicas PCR,líquido pleural
1163,MICPCROT,Micobacterias atipicas PCR,otro material
1164,MICPCR,Micobacterias atipicas PCR,sangre EDTA
1165,MICBA1,Micobacterias baciloscopia - esputo muestra 1,esputo
1166,MICBA2,Micobacterias baciloscopia - esputo muestra 2,esputo
1167,MICBA3,Micobacterias baciloscopia - esputo muestra 3,esputo
1168,MICBAO,Micobacterias baciloscopia - orina muestra 1,orina
1169,MICBAO2,Micobacterias baciloscopia - orina muestra 2,orina
1170,MICBAO3,Micobacterias baciloscopia - orina muestra 3,orina
1171,MICBASH2,Micobacterias baciloscopia muestra 2,sangre heparina
1172,MICBALB,Micobacterias baciloscopia,lavado bronqueoalveolar
1173,MICBALBR,Micobacterias baciloscopia,lavado bronquial
1174,MICBAMV,Micobacterias baciloscopia,líquido pleural
1175,MICBAMO,Micobacterias baciloscopia,otro material
1176,MICBASH,Micobacterias baciloscopia,sangre heparina
1177,PMICHE1,Micobacterias baciloscopia-hemocultivo muestra 1 lisis centrifugacion,hemocultivo
1178,PMICHE2,Micobacterias baciloscopia-hemocultivo muestra 2 lisis centrifugacion,hemocultivo
1179,MICCULB,Micobacterias cultivo - BAL,lavado bronqueoalveolar
1180,MICCUL1,Micobacterias cultivo - esputo muestra 1,esputo
1181,MICCUL2,Micobacterias cultivo - esputo muestra 2,esputo
1182,MICCULO1,Micobacterias cultivo - orina muestra 1,orina
1183,MICCULO2,Micobacterias cultivo - orina muestra 2,orina
1184,MICCULO3,Micobacterias cultivo - orina muestra 3,orina
1185,MICCULLB,Micobacterias cultivo,lavado bronquial
1186,MICCULLP,Micobacterias cultivo,liquido pleural
1187,MICCULMV,Micobacterias cultivo,otro material
1188,MICHEMO1,Micobacterias hemocultivo muestra 1 lisis centrifug.,sangre heparina
1189,MICHEMO2,Micobacterias hemocultivo muestra 2 lisis centrifug.,sangre heparina
1190,MHLD1,Micolog dto- Hemocultivo muestra 1 - lisis centrifug,sangre heparina
1191,MHLD2,Micolog dto- Hemocultivo muestra 2 - lisis centrifug,sangre heparina
1192,MHLC1,Micologico - Hemocultivo muestra 1 - lisis centrifugacion,hemocultivo
1193,MHLC2,Micologico - Hemocultivo muestra 2 - lisis centrifugacion,hemocultivo
1194,MICUL1EC,Micologico cultivo - muestra 1,escamas de cuero cabelludo
1195,MICCUL1E,Micologico cultivo - muestra 1,escamas de piel
1196,MICCUL1O,Micologico cultivo - muestra 1,otro material
1197,MICCUL1U,Micologico cultivo - muestra 1,uñas
1198,MICCUL2E,Micologico cultivo - muestra 2,escamas de piel
1199,MICCUL2U,Micologico cultivo - muestra 2,uñas
1200,MICCUL3E,Micologico cultivo - muestra 3,escamas de piel
1201,CTRAPCR,Chlamydia trachomatis PCR,semen
1202,MICOD1EC,Micologico directo - muestra 1,escamas de cuero cabelludo
1203,MICOD1EP,Micologico directo - muestra 1,escamas de piel
1204,MICOD1O,Micologico directo - muestra 1,otro material
1205,MICOD1U,Micologico directo - muestra 1,uñas
1206,MICOD2EP,Micologico directo - muestra 2,escamas de piel
1207,MICOD2U,Micologico directo - muestra 2,uñas
1208,MICOD3EP,Micologico directo - muestra 3,escamas de piel
1209,CTRAPCRO,Chlamydia trachomatis PCR-Neisseria gonorrhoeae,otro material
1210,CTRAPCRH,Chlamydia trachomatis PCR-Neisseria gonorrhoeae,hisopado endocervical
1211,PMHL1,Micosis -hemocultivo muestra 1- lisis centrifugacion,sangre heparina
1212,PMHL2,Micosis -hemocultivo muestra 2- lisis centrifugacion,sangre hepaina
1213,MICSISEP,Micosis sistemica - cultivo,esputo
1214,MICSISD,Micosis sistemica - directo,esputo
1215,MICOSCUL,Micosis sistemica cultivo,otro material
1216,MICOSD,Micosis sistemica directo,otro material
1217,OXAO,Acido Oxalico,orina
1218,BALCUL,BAL - Directo y cultivo germenes comunes,lavado bronqueoalveolar
1219,CPNEG,Chlamydophila pneumoniae Ac.IgG,suero
1220,RAC,Microalbuminuria,orina
1221,ALB24,Microalbuminuria - Albumina,orina 24 h
1222,MICROARR,MICROARRAY - Array cromosomico,sangre EDTA
1223,ARRAYPRE,Microarray cromosómico prenatal - CMA,materiales varios
1224,MICROSIB,Microsporidia investigacion,biopsia intestinal
1225,MICROSIC,Microsporidia investigacion,contenido duodenal
1226,MICROSI,Microsporidia investigacion,materia fecal
1227,PIPE24,Acido Pipecolico,orina representativa de 24 h
1228,MINE24,Mineralograma,orina representativa de 24 h
1229,MIOARVD,Miocardiopatia arritmogenica del ventriculo derecho,sangre EDTA
1230,MIODIL,Miocardiopatia dilatada,sangre EDTA
1231,MIOHIPER,Miocardiopatia hipertrofica,sangre EDTA
1232,MIONOCOM,Miocardiopatia no compactada,sangre EDTA
1233,MIORES,Miocardiopatia restrictiva,sangre EDTA
1234,MIOGO,Mioglobina,orina
1235,MIOG,Mioglobina,suero
1236,MIOPA,Miopatias inflamatorias autoinmunes – panel de anticuerpos,suero
1237,MIOPA,Miositis - Panel ampliado Ac.IgG,suero
1238,MITOTANE,Mitotane,suero
1239,MLPAADN2,MLPA - Estudio de deleciones/duplicaciones 2 probemix,ADN extraido
1240,MLPA2,MLPA - Estudio de deleciones/duplicaciones 2 probemix,sangre EDTA
1241,DMDMLPA,MLPA - Estudio de deleciones/duplicaciones en el gen DMD,sangre EDTA
1242,DMDMLPAD,MLPA - Estudio de deleciones/duplicaciones en el gen DMD,ADN extraido
1243,MLPAADN,MLPA - Estudio de deleciones/duplicaciones,ADN extraido
1244,MLPA,MLPA - Estudio de deleciones/duplicaciones,sangre EDTA
1245,MODY,MODY - Diabetes juvenil tipo adulto,sangre EDTA
1246,MOGIGG,MOG Ac. IgG,suero
1247,PIPE,Acido Pipecolico,suero
1248,BO,Bandas oligoclonales,suero y LCR
1249,MONOPB,Mononucleosis - Paul Bunnell,suero
1250,MONOLX,Mononucleosis - Test de latex,suero
1251,EABA,Estado acido-base arterial,sangre heparina
1252,MOPEG24,MOPEG,orina 24 h
1253,MOPEGL,MOPEG,orina Litro
1254,CPNEM,Chlamydophila pneumoniae Ac.IgM,suero
1255,MOP,Morfina - MOP,orina
1256,MORFESP,Morfologia espermatica,extendidos semen
1257,MOST,MOST - Modified Sperm Stress Test,semen
1258,MPLM,MPL - mutaciones exon 10,medula osea EDTA
1259,MPL,MPL - mutaciones exon 10,sangre EDTA
1260,MPOG,MPO - Mieloperoxidasa Ac.IgG,suero
1261,MPSIII,MPSIII - Sanfilipo,sangre heparina
1262,MSMLPA,MS-MLPA - Estudio de deleciones/duplicaciones y estado de metilación,materiales varios
1263,BASOALER,Alergeno adicional - Desgranulacion de basofilos,sangre EDTA esteril
1264,MMR,MSI proteinas reparadoras de errores de emparejamiento (MMR) por Inmunohistoquimica,materiales varios
1265,EABV,Estado acido-base venoso,sangre heparina
1266,MUCOPCL,Mucopolisacaridos cualitativos,orina
1267,BASOALE2,Alergeno adicional - Desgranulacion de basofilos,sangre EDTA esteril
1268,MEAC,Musculo estriado Ac.,suero
1269,ASMA,Musculo liso Ac.,suero
1270,MSTKAC,MuSK - Muscle Specific Tyrosine Kinase Ac.,suero
1271,MYD88,Mutacion MYD88 L265P,sangre EDTA/médula osea EDTA
1272,MTPCRBI,Mycobacterium tuberculosis complex PCR,biopsia de tejido
1273,MTPCRES,Mycobacterium tuberculosis complex PCR,esputo
1274,MTPCRLB,Mycobacterium tuberculosis complex PCR,lavado bronqueoalveolar
1275,MTPCRLCR,Mycobacterium tuberculosis complex PCR,LCR
1276,MTPCRLP,Mycobacterium tuberculosis complex PCR,liquido pleural
1277,MTPCROT,Mycobacterium tuberculosis complex PCR,otro material
1278,MTPCR,Mycobacterium tuberculosis complex PCR,sangre EDTA
1279,MYUAC,Mycoplasma - Ureaplasma Ac.,suero
1280,MYUCULHU,Mycoplasma - Ureaplasma cultivo,hisopado uretral
1281,MYUCULOP,Mycoplasma - Ureaplasma cultivo,orina primer chorro
1282,MYUCUL,Mycoplasma - Ureaplasma cultivo,semen
1283,MGENHEC,Mycoplasma genitalium - PCR,hisopado endocervical
1284,MGENHU,Mycoplasma genitalium - PCR,hisopado uretral
1285,MGENORI,Mycoplasma genitalium - PCR,orina primer chorro
1286,MGENO,Mycoplasma genitalium - PCR,otro material
1287,MGENSEM,Mycoplasma genitalium - PCR,semen
1288,MHOMHEC,Mycoplasma hominis - PCR,hisopado endocervical
1289,MHOMHU,Mycoplasma hominis - PCR,hisopado uretral
1290,MHOMOR,Mycoplasma hominis - PCR,orina primer chorro
1291,MHOMO,Mycoplasma hominis - PCR,otro material
1292,MHOMSEM,Mycoplasma hominis - PCR,semen
1293,MYPG,Mycoplasma pneumoniae Ac.IgG,suero
1294,MYPM,Mycoplasma pneumoniae Ac.IgM,suero
1295,BARBIC,Barbituricos Confirmatorio,orina
1296,PIR,Acido Piruvico,sangre desproteinizada
1297,CTRAPCHC,Neisseria gonorrhoeae PCR,hisopado conjuntival
1298,CTRAPCRH,Neisseria gonorrhoeae PCR,hisopado endocervical
1299,CTRAPCHU,Neisseria gonorrhoeae PCR,hisopado uretral
1300,CTRAPCOP,Neisseria gonorrhoeae PCR,orina primer chorro
1301,CTRAPCRO,Neisseria gonorrhoeae PCR,otro material
1302,CTRAPCR,Neisseria gonorrhoeae PCR,semen
1303,SALI,Acido Salicilico,suero
1304,SUCC24,Acido Succinico,orina representativa de 24 h
1305,TRICLORO,Acido Tricloroacetico,orina post jornada laboral
1306,5HTT,5HTT Alelos Gen Transportador LPR,sangre EDTA
1307,ATBGC2H,Antibiograma cultivo germenes comunes 2,herida
1308,HNPP,Neuropatia hereditaria sensible a parálisis por presion,sangre EDTA
1309,LHON,Neuropatia optica hereditaria de Leber,sangre EDTA
1310,CIDP,NF-155,suero
1311,NGS50,NGS 50 genes,sangre EDTA
1312,BARBIS,Barbituricos Screening,orina
1313,ACULLP,Anaerobios cultivo,líquido de punción
1314,NI,Niquel,orina post jornada laboral
1315,URIC24,Acido Urico clearance,suero y orina 24 h
1316,ACUL,Anaerobios cultivo,otro material
1317,URI24,Acido Urico,orina 24 h
1318,BHG,Bartonella henselae Ac.IgG,suero
1319,URIL,Acido Urico,orina Litro
1320,BHM,Bartonella henselae Ac.IgM,suero
1321,DENAG,Dengue NS1 Ag.,suero
1322,BZPC,Benzodiazepinas Confirmatorio,orina
1323,BZPS,Benzodiazepinas Screening,orina
1324,DENPCRS,Dengue PCR serotipificacion,suero
1325,NMDAGLCR,NMDA Ac.IgG,LCR
1326,NMDAG,NMDA Ac.IgG,suero
1327,NMOLCR,NMO Ac.IgG - Aquaporina 4,LCR
1328,NMOACIGG,NMO Ac.IgG - Aquaporina 4,suero
1329,DMT24,NN Dimetiltriptamina,orina 24 h
1330,DMTL,NN Dimetiltriptamina,orina Litro
1331,NORTRI,Nortriptilina,suero
1332,NPM1M,NPM1 - mutaciones exon 12,medula osea EDTA
1333,NPM1,NPM1 - mutaciones exon 12,sangre EDTA
1334,BASOALE3,Alergeno adicional - Desgranulacion de basofilos,sangre EDTA esteril
1335,NTPROBNP,NT-pro BNP,suero
1336,BC,Beta Carotenos,suero
1337,CTX,Beta Cross Laps,suero
1338,OLA,Olanzapina,plasma EDTA
1339,URIO,Acido Urico,orina
1340,OLISACC,Oligosacaridos cromatografia,orina representativa de 24 h
1341,ONPG,Onconeuronales Panel Ac.IgG,suero
1342,OPIC,Opiaceos Confirmatorio,orina
1343,OPIPANEL,Opiaceos Panel Confirmatorio,orina
1344,OPIS,Opiaceos Screening,orina
1345,URI,Acido Urico,suero
1346,OMCULTD,Orina chorro medio - cultivo y tipific DERIVANTES,orina chorro medio
1347,OMCULT,Orina chorro medio - cultivo y tipificacion,orina chorro medio
1348,OC,Orina Completa,orina
1349,ATBGC2,Antibiograma cultivo germenes comunes 2,otro material
1350,OPSCUL,Orina por puncion de sonda - cultivo,orina por puncion de sonda
1351,OSVCUL,Orina por sondeo vesical - cultivo,orina por sondeo vesical
1352,OPRCUL,Orina primer chorro - cultivo,orina primer chorro
1353,OCRESOL,Orto-Cresol (2-metilfenol),orina post jornada laboral
1354,OMBUFO24,Ortometil Bufotenina,orina 24 h
1355,OMBUFOL,Ortometil Bufotenina,orina Litro
1356,OSMO24,Osmolalidad,orina 24 h
1357,OSMOO,Osmolalidad,orina
1358,OSMO,Osmolalidad,suero
1359,OSTEOC,Osteocalcina,plasma EDTA
1360,OVAAC,Ovario Ac.,suero
1361,OCZP,Oxcarbazepina,suero
1362,OXI100,Oxicodona confirmatorio VC100,orina
1363,OXI,Oxicodona,orina
1364,HCGBL,Beta hCG libre,suero
1365,BLAC,Beta lactamasa deteccion,cepa bacteriana
1366,BTS,Beta talasemia - mutaciones en el gen de la B Globina,sangre EDTA
1367,PAFEN,P-Aminofenol,orina post jornada laboral
1368,PNITROF,P-Nitrofenol,orina post jornada laboral
1369,P1NP,P1NP – Propéptido N terminal del Procolageno 1,suero
1370,P24,P24 Ag.,suero
1371,B2GA,Beta-2 Glicoproteina Ac.IgA,suero
1372,B2GG,Beta-2 Glicoproteina Ac.IgG,suero
1373,PAI4G5G,PAI 4G/5G,sangre EDTA
1374,CICLOS,Ciclosporina,sangre EDTA
1375,NGSPMIEL,Panel de mieloide por NGS,sangre EDTA / medula osea
1376,BASOALE4,Alergeno adicional - Desgranulacion de basofilos,sangre EDTA esteril
1377,BASOALER,Alergeno adicional-Prueba activacion de Basofilos,sangre EDTA esteril
1378,INFCOVHN,Panel Respiratorio Influenza/COVID-19 - hisopado nasofaringeo,hisopado nasofaringeo
1379,INFCOVAN,Panel Respiratorio Influenza/COVID19 - aspirado nasofaringeo,aspirado nasofaringeo
1380,INFCOVAT,Panel Respiratorio Influenza/COVID19 - aspirado traqueal,aspirado traqueal
1381,INFCOVES,Panel Respiratorio Influenza/COVID19 - esputo,esputo
1382,INFCOVLB,Panel Respiratorio Influenza/COVID19 - lavado bronqueoalveolar,lavado bronqueoalveolar
1383,INFCOVAN,Panel Respiratorio Influenza/SARS-CoV-2 - aspirado nasofaringeo,aspirado nasofaringeo
1384,INFCOVAT,Panel Respiratorio Influenza/SARS-CoV-2 - aspirado traqueal,aspirado traqueal
1385,INFCOVES,Panel Respiratorio Influenza/SARS-CoV-2 - esputo,esputo
1386,INFCOVHN,Panel Respiratorio Influenza/SARS-CoV-2 - hisopado nasofaringeo,aspirado nasofaringeo
1387,INFCOVLB,Panel Respiratorio Influenza/SARS-CoV-2 - lavado bronqueoalveolar,lavado bronqueoalveolar
1388,BASOALE2,Alergeno adicional-Prueba activacion de Basofilos,sangre EDTA esteril
1389,PAPPA,PAPP-A,suero
1390,PARACAC,Paracoccidioides brasiliensis Ac.,suero
1391,PINF1AGN,Parainfluenza 1 Ag.,aspirado nasofaríngeo
1392,PINF1AGO,Parainfluenza 1 Ag.,aspirado traqueal
1393,PINF1AG,Parainfluenza 1 Ag.,lavado bronqueoalveolar
1394,PINFPCAN,Parainfluenza 1-4 PCR,aspirado nasofaríngeo
1395,PINFPCAT,Parainfluenza 1-4 PCR,aspirado traqueal
1396,PINFPCHS,Parainfluenza 1-4 PCR,hisopado nasofaríngeo
1397,PINFPCR,Parainfluenza 1-4 PCR,lavado bronqueoalveolar
1398,PINF2AGN,Parainfluenza 2 Ag.,aspirado nasofaríngeo
1399,PINF2AGO,Parainfluenza 2 Ag.,aspirado traqueal
1400,PINF2AG,Parainfluenza 2 Ag.,lavado bronqueoalveolar
1401,PINF3AGN,Parainfluenza 3 Ag.,aspirado nasofaríngeo
1402,PINF3AGO,Parainfluenza 3 Ag.,aspirado traqueal
1403,PINF3AG,Parainfluenza 3 Ag.,lavado bronqueoalveolar
1404,P1MF,Parasitologico 1 muestra,materia fecal
1405,PSMF,Parasitologico seriado,materia fecal
1406,PARAO,Parasitologico,orina
1407,PMV,Parasitologico,otro material
1408,PARACT,Parasitos - clasificacion taxonomica,parasitos
1409,PARAHE,Parasitos hematicos,frotis sanguíneo
1410,PARASU,Parasitos superiores,parasitos superiores
1411,PAROTG,Parotiditis Ac.IgG,suero
1412,PAROTM,Parotiditis Ac.IgM,suero
1413,B19G,Parvovirus B19 Ac.IgG,suero
1414,B19M,Parvovirus B19 Ac.IgM,suero
1415,B19PCRL,Parvovirus B19 PCR,LCR
1416,B19PCROT,Parvovirus B19 PCR,otro
1417,B19PCR,Parvovirus B19 PCR,suero
1418,CIDP,CIDP panel (Contactin-1 / NF-155),suero
1419,CIMVITEK,CIM - VITEK,cepa bacteriana
1420,PCB,PCB's - Bifenilos policlorados,suero
1421,B2GM,Beta-2 Glicoproteina Ac.IgM,suero
1422,B2MGO,Beta-2 Microglobulina,orina
1423,BASOALE3,Alergeno adicional-Prueba activacion de Basofilos,sangre EDTA esteril
1424,PDF,PDF - Productos de Degradacion del Fibrinogeno,plasma citrato
1425,BASOALE4,Alergeno adicional-Prueba activacion de Basofilos,sangre EDTA esteril
1426,PENTACL,Pentaclorofenol,orina post jornada laboral
1427,B2MG,Beta-2 Microglobulina,suero
1428,PEPCP,Peptido C - Prueba de estimulo con Glucagon,suero
1429,PEPC6,Peptido C 6 minutos,suero
1430,PEPCM,Peptido C matutino,suero
1431,PEPCV,Peptido C vespertino,suero
1432,PEPC24,Peptido C,orina 24 h
1433,PEPCL,Peptido C,orina Litro
1434,PGDA,Peptidos de Gliadinas Deaminados Ac.IgA,suero
1435,PGDG,Peptidos de Gliadinas Deaminados Ac.IgG,suero
1436,CALRSE,CALR - mutaciones exon 9,sangre EDTA
1437,P149,PERFIL ACCIDENTE DE TRABAJO,absceso
1438,BICARV,Bicarbonato venoso,sangre heparina
1439,BICARO,Bicarbonato,orina
1440,TAVECAP,Canalopatia-Taquicardia ventricular catecol. polimorf,sangre EDTA
1441,BILI,Bilirrubina,suero
1442,TAUBETA,Biomarcadores relacionados con Sindromes Neurodegenerativos,LCR
1443,P056,PERFIL AMPLIADO TIROIDES,absceso
1444,P053,PERFIL ANEMIAS CLASIFICACION Y ORIGEN,absceso
1445,P203,PERFIL ANTICUERPOS EE,absceso
1446,P055,PERFIL BASICO TIROIDES,absceso
1447,Pbrigada,Perfil Brigada PBB polisur,absceso
1448,P102,PERFIL C. CALIDAD G.R.P. CITOM. F,absceso
1449,P069,PERFIL CCI - HORMONAS,absceso
1450,P068,PERFIL CCI - Q. CLINICA,absceso
1451,P163,PERFIL CCI SN,absceso
1452,P062,PERFIL CEMIC Q. CLINICA,absceso
1453,P097,PERFIL CEMIC SEROLG. A,absceso
1454,P098,PERFIL CEMIC SEROLOGIA B,absceso
1455,P099,PERFIL CEMIC SEROLOGIA C,absceso
1456,P057,PERFIL COMPLETO TIROIDES,absceso
1457,CIMLEV,CIM - VITEK,cepa levadura
1458,PAGO,"Perfil de acidos grasos Omega 3,6 y 9",suero
1459,17HPG30,17-Hidroxi Progesterona 30 minutos,suero
1460,CALPRO,Calprotectina,materia fecal
1461,TROMBOP,Perfil de trombosis,suero/plasma citrato/plasma EDTA
1462,P052,PERFIL DIAG. DIABETES MELLITUS,absceso
1463,P058,PERFIL DIAG. ENFERMEDAD MUSCULAR,absceso
1464,P051,PERFIL DIAG. ENFERMEDAD PANCREATICA,absceso
1465,P054,PERFIL DIAG. PARA COAGULOPATIAS,absceso
1466,CZP,Carbamazepina,suero
1467,CC,Cistatina C,suero
1468,17HPG,17-Hidroxi Progesterona,suero
1469,P048,PERFIL ENFERMEDAD RENAL,absceso
1470,P202,PERFIL ESTEROIDES EE,absceso
1471,P180,PERFIL GRUPOS NEGATIVOS CONT.,absceso
1472,PLIPI,Perfil lipidico,suero
1473,P223,PERFIL LIT3,absceso
1474,P227,PERFIL LIT4,absceso
1475,P204,PERFIL M. TUMORALES EE,absceso
1476,C24,Cistina,orina 24 h
1477,PMICCULB,Perfil Micobacterias baciloscopia y cultivo - BAL,lavado bronqueoalveolar
1478,PMICBUL2,Perfil Micobacterias baciloscopia y cultivo - esputo muestra 2,esputo
1479,PMICBUL3,Perfil Micobacterias baciloscopia y cultivo - esputo muestra 3 esputo],esputo
1480,PMICCO1,Perfil Micobacterias baciloscopia y cultivo - orina muestra 1,orina
1481,PMICCO2,Perfil Micobacterias baciloscopia y cultivo - orina muestra 2,orina
1482,PMICCO3,Perfil Micobacterias baciloscopia y cultivo - orina muestra 3,orina
1483,PMICCUL1,Perfil Micobacterias baciloscopia y cultivo -esputo muestra 1,esputo
1484,PMICCLB,Perfil Micobacterias baciloscopia y cultivo,lavado bronquial
1485,PMICCLP,Perfil Micobacterias baciloscopia y cultivo,liquido pleural
1486,PMICCMV,Perfil Micobacterias baciloscopia y cultivo,otro material
1487,PMICCULB,Perfil Micobacterias baciloscopia y cultivo- BAL,lav bronqueoalveolar
1488,PCDM1EC,Perfil Micologico cult y directo muestra 1,escamas de cuero cabelludo
1489,PCDM1EC,Perfil Micologico cultivo y directo - muestra 1,escamas de cuero cabelludo
1490,PCDM1EP,Perfil Micologico cultivo y directo - muestra 1,escamas de piel
1491,PMICOC1,Perfil Micologico cultivo y directo - muestra 1,otro material
1492,PCDM1U,Perfil Micologico cultivo y directo - muestra 1,uñas
1493,PCDM2EP,Perfil Micologico cultivo y directo - muestra 2,escamas de piel
1494,PCDM2U,Perfil Micologico cultivo y directo - muestra 2,uñas
1495,PCDM3EP,Perfil Micologico cultivo y directo - muestra 3,escamas de piel
1496,PMICOSC,Perfil Micosis sistemica directo y cultivo,otro
1497,MICSISP,Perfil Micosis sistemica,esputo
1498,CISL,Cistina,orina Litro
1499,P160,PERFIL OLEAGINOSA MORENO,absceso
1500,P079,PERFIL PECC DROGAS ENCU.,absceso
1501,P168,PERFIL PEEC AAN,absceso
1502,P158,PERFIL PEEC CELIACO,absceso
1503,P169,PERFIL PEEC DNA,absceso
1504,P191,PERFIL PEEC ENDOCRINOLOGIA,absceso
1505,P126,PERFIL PEEC INM. SEROL. HEPATITIS,absceso
1506,P104,PERFIL PEEC INM. SEROLOG.,absceso
1507,P103,PERFIL PEEC INMUNOGLOB.,absceso
1508,P143,PERFIL PEEC MARCADORES TUMORALES,absceso
1509,P190,PERFIL PEEC MDT,absceso
1510,P130,PERFIL PEEC ORG,absceso
1511,P161,PERFIL PEEC ORINA,absceso
1512,P063,PERFIL PEEC Q. CLINICA,absceso
1513,P170,PERFIL PEEC VDRL,absceso
