codigo,capitulo,enfermedad,tipo de enfermedad,descripcion
A96,CAPITULO I,Fiebres virales trasmitidas por artrópodos y fiebres virales hemorrágicas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Fiebre hemorrágica por arenavirus
A98,CAPITULO I,Fiebres virales trasmitidas por artrópodos y fiebres virales hemorrágicas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Otras fiebres virales hemorrágicas, no clasificadas en otra parte"
A99,CAPITULO I,Fiebres virales trasmitidas por artrópodos y fiebres virales hemorrágicas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Fiebre viral hemorrágica, no especificada"
B00,CAPITULO I,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Infecciones herpéticas [herpes simple]
B01,CAPITULO I,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Varicela
B02,CAPITULO I,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Herpes zoster
B03,CAPITULO I,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Viruela
B04,CAPITULO I,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Viruela de los monos
B05,CAPITULO I,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Sarampión
B06,CAPITULO I,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Rubeola [sarampión alemán]
B07,CAPITULO I,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Verrugas víricas
B08,CAPITULO I,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las membranas mucosas, no clasificadas en otra"
B09,CAPITULO I,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas"
B15,CAPITULO I,Hepatitis viral,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Hepatitis aguda tipo A
B16,CAPITULO I,Hepatitis viral,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Hepatitis aguda tipo B
B17,CAPITULO I,Hepatitis viral,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras hepatitis virales agudas
B18,CAPITULO I,Hepatitis viral,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Hepatitis viral crónica
B19,CAPITULO I,Hepatitis viral,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Hepatitis viral, sin otra especificación"
B20,CAPITULO I,Enfermedad por virus de la inmunodeficiencia humana (HIV),CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias"
B21,CAPITULO I,Enfermedad por virus de la inmunodeficiencia humana (HIV),CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en tumores malignos"
B22,CAPITULO I,Enfermedad por virus de la inmunodeficiencia humana (HIV),CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas"
B23,CAPITULO I,Enfermedad por virus de la inmunodeficiencia humana (HIV),CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras afecciones"
