codigo,capitulo,enfermedad,tipo de enfermedad,descripcion
D83,CAPITULO III,Ciertos trastornos que afectan el mecanismo de la inmunidad,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Inmunodeficiencia variable común
D84,CAPITULO III,Ciertos trastornos que afectan el mecanismo de la inmunidad,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Otras inmunodeficiencias
D86,CAPITULO III,Ciertos trastornos que afectan el mecanismo de la inmunidad,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Sarcoidosis
D89,CAPITULO III,Ciertos trastornos que afectan el mecanismo de la inmunidad,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD","Otros trastornos que afectan el mecanismo de la inmunidad, no clasificados en otra parte"
E00,CAPITULO IV,Trastornos de la glándula tiroides,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Síndrome congénito de deficiencia de yodo
E01,CAPITULO IV,Trastornos de la glándula tiroides,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos tiroideos vinculados a deficiencia de yodo y afecciones
E02,CAPITULO IV,Trastornos de la glándula tiroides,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Hipotiroidismo subclinico por deficiencia de yodo
E03,CAPITULO IV,Trastornos de la glándula tiroides,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otro hipotiroidismo
E04,CAPITULO IV,Trastornos de la glándula tiroides,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otro bocio no tóxico
E05,CAPITULO IV,Trastornos de la glándula tiroides,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Tirotoxicosis [hipertiroidismo]
E06,CAPITULO IV,Trastornos de la glándula tiroides,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Tiroiditis
E07,CAPITULO IV,Trastornos de la glándula tiroides,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otros trastornos tiroideos
E10,CAPITULO IV,Diabetes mellitus,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Diabetes mellitus insulinodependiente
E11,CAPITULO IV,Diabetes mellitus,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Diabetes mellitus no insulinodependiente
E12,CAPITULO IV,Diabetes mellitus,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Diabetes mellitus asociada con desnutrición
E13,CAPITULO IV,Diabetes mellitus,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otras diabetes mellitus especificadas
E14,CAPITULO IV,Diabetes mellitus,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","Diabetes mellitus, no especificada"
E15,CAPITULO IV,Otros trastornos de la regulación de la glucosa y de la secreción interna del páncreas,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Coma hipoglicemico no diabético
E16,CAPITULO IV,Otros trastornos de la regulación de la glucosa y de la secreción interna del páncreas,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otros trastornos de la secreción interna del páncreas
E20,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Hipoparatiroidismo
E21,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Hiperparatiroidismo y otros trastornos de la glándula paratiroides
E22,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Hiperfuncion de la glándula hipófisis
E23,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Hipofuncion y otros trastornos de la glándula hipófisis
E24,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Síndrome de Cushing
E25,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos adrenogenitales
E26,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Hiperaldosteronismo
E27,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otros trastornos de la glándula suprarrenal
E28,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Disfunción ovarica
E29,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Disfunción testicular
E30,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","Trastornos de la pubertad, no clasificados en otra parte"
E31,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Disfunción poliglandular
E32,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Enfermedades del timo
E34,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otros trastornos endocrinos
E35,CAPITULO IV,Trastornos de otras glándulas endocrinas.,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos endocrinos en enfermedades clasificadas en otra parte
E40,CAPITULO IV,Desnutrición,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Kwashiorkor
E41,CAPITULO IV,Desnutrición,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Marasmo nutricional
E42,CAPITULO IV,Desnutrición,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Kwashiorkor marasmatico
E43,CAPITULO IV,Desnutrición,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","Desnutrición proteicocalorica severa, no especificada"
E44,CAPITULO IV,Desnutrición,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Desnutrición proteicocalorica de grado moderado y leve
E45,CAPITULO IV,Desnutrición,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Retardo del desarrollo debido a desnutrición proteicocalorica
E46,CAPITULO IV,Desnutrición,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","Desnutrición proteicocalorica, no especificada"
E50,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Deficiencia de vitamina A
E51,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Deficiencia de tiamina
E52,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Deficiencia de niacina [pelagra]
E53,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Deficiencias de otras vitaminas del grupo B
E54,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Deficiencia de ácido ascorbico
E55,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Deficiencia de vitamina D
E56,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otras deficiencias de vitaminas
E58,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Deficiencia dietética de calcio
E59,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Deficiencia dietética de selenio
E60,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Deficiencia dietética de zinc
E61,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Deficiencias de otros elementos nutricionales
E63,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otras deficiencias nutricionales
E64,CAPITULO IV,Otras deficiencias nutricionales,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Secuelas de la desnutrición y de otras deficiencias nutricionales
E65,CAPITULO IV,Obesidad y otros tipo de hiperalimentación,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Adiposidad localizada
E66,CAPITULO IV,Obesidad y otros tipo de hiperalimentación,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Obesidad
E67,CAPITULO IV,Obesidad y otros tipo de hiperalimentación,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otros tipos de hiperalimentación
E68,CAPITULO IV,Obesidad y otros tipo de hiperalimentación,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Secuelas de hiperalimentación
E70,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos del metabolismo de los aminoácidos aromáticos
E71,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos del metabolismo de los aminoácidos de cadena ramificada y de los ácidos grasos
E72,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otros trastornos del metabolismo de los aminoácidos
E73,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Intolerancia a la lactosa
E74,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otros trastornos del metabolismo de los carbohidratos
E75,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos del metabolismo de los esfingolipidos y otros trastornos por almacenamiento de lípidos
E76,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos del metabolismo de los glucosamínoglicanos
E77,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos del metabolismo de las glucoproteinas
E78,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos del metabolismo de las lipoproteinas y otras lipidemias
E79,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos del metabolismo de las purinas y de las pirimidinas
E80,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos del metabolismo de las porfirinas y de la bilirrubina
E83,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos del metabolismo de los minerales
E84,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Fibrosis quistica
E85,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Amiloidosis
E86,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Deplecion del volumen
E87,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","Otros trastornos de los líquidos, de los electrolitos y del equilibrio ácido-básico"
E88,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Otros trastornos metabólicos
E89,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","Trastornos endocrinos y metabólicos consecutivos a procedimientos, no clasificados en otra parte"
E90,CAPITULO IV,Trastornos metabólicos,"ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",Trastornos nutricionales y metabólicos en enfermedades clasificadas en otra parte
F00,CAPITULO V,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Demencia en la enfermedad de Alzheimer (G30.-+)
F01,CAPITULO V,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Demencia vascular
F02,CAPITULO V,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Demencia en otras enfermedades clasificadas en otra parte
F03,CAPITULO V,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Demencia, no especificada"
F04,CAPITULO V,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Síndrome amnésico orgánico, no inducido por alcohol o por otras sustancias psicoactivas"
F05,CAPITULO V,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Delirio, no inducido por alcohol o por otras sustancias psicoactivas"
F06,CAPITULO V,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Otros trastornos mentales debidos a lesión y disfunción cerebral, y a enfermedad física"
F07,CAPITULO V,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Trastornos de la personalidad y del comportamiento debidos a enfermedad, lesión o disfunción cerebral"
F09,CAPITULO V,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Trastorno mental orgánico o sintomático, no especificado"
F20,CAPITULO V,"Esquizofrenia,trastornos esquizotípicos y trastornos delirantes",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Esquizofrenia
F21,CAPITULO V,"Esquizofrenia,trastornos esquizotípicos y trastornos delirantes",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastorno esquizotipico
F22,CAPITULO V,"Esquizofrenia,trastornos esquizotípicos y trastornos delirantes",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos delirantes persistentes
F23,CAPITULO V,"Esquizofrenia,trastornos esquizotípicos y trastornos delirantes",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos psicoticos agudos y transitorios
F24,CAPITULO V,"Esquizofrenia,trastornos esquizotípicos y trastornos delirantes",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastorno delirante inducido
F25,CAPITULO V,"Esquizofrenia,trastornos esquizotípicos y trastornos delirantes",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos esquizoafectivos
F28,CAPITULO V,"Esquizofrenia,trastornos esquizotípicos y trastornos delirantes",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Otros trastornos psicoticos de origen no orgánico
F29,CAPITULO V,"Esquizofrenia,trastornos esquizotípicos y trastornos delirantes",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Psicosis de origen no orgánico, no especificada"
F30,CAPITULO V,Trastornos del humor (afectivos),TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Episodio maníaco
F31,CAPITULO V,Trastornos del humor (afectivos),TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastorno afectivo bipolar
F32,CAPITULO V,Trastornos del humor (afectivos),TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Episodio depresivo
F33,CAPITULO V,Trastornos del humor (afectivos),TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastorno depresivo recurrente
F34,CAPITULO V,Trastornos del humor (afectivos),TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos del humor [afectivos] persistentes
F38,CAPITULO V,Trastornos del humor (afectivos),TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Otros trastornos del humor [afectivos]
F39,CAPITULO V,Trastornos del humor (afectivos),TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Trastorno del humor [afectivo], no especificado"
F40,CAPITULO V,"Trastornos neuróticos, trastornos relacionados con el stress y trastornos somatomorfos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos fobicos de ansiedad
F41,CAPITULO V,"Trastornos neuróticos, trastornos relacionados con el stress y trastornos somatomorfos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Otros trastornos de ansiedad
F42,CAPITULO V,"Trastornos neuróticos, trastornos relacionados con el stress y trastornos somatomorfos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastorno obsesivo-compulsivo
F43,CAPITULO V,"Trastornos neuróticos, trastornos relacionados con el stress y trastornos somatomorfos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Reacción al estrés grave y trastornos de adaptación
F44,CAPITULO V,"Trastornos neuróticos, trastornos relacionados con el stress y trastornos somatomorfos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos disociativos [de conversión]
F45,CAPITULO V,"Trastornos neuróticos, trastornos relacionados con el stress y trastornos somatomorfos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos somatomorfos
F48,CAPITULO V,"Trastornos neuróticos, trastornos relacionados con el stress y trastornos somatomorfos",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Otros trastornos neuróticos
F50,CAPITULO V,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos de la ingestión de alimentos
F51,CAPITULO V,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos no orgánicos del sueno
F52,CAPITULO V,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Disfunción sexual no ocasionada por trastorno ni enfermedad orgánicos
F53,CAPITULO V,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Trastornos mentales y del comportamiento asociados con el puerperio, no clasificados en otra parte"
F54,CAPITULO V,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Factores psicológicos y del comportamiento asociados con trastornos o enfermedades clasificados en otra parte
F55,CAPITULO V,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Abuso de sustancias que no producen dependencia
F59,CAPITULO V,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos, no especificados"
F60,CAPITULO V,Trastornos de la personalidad y del comportamiento en adultos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos específicos de la personalidad
F61,CAPITULO V,Trastornos de la personalidad y del comportamiento en adultos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos mixtos y otros trastornos de la personalidad
F62,CAPITULO V,Trastornos de la personalidad y del comportamiento en adultos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Cambios perdurables de la personalidad, no atribuibles a lesión o a enfermedad cerebral"
F63,CAPITULO V,Trastornos de la personalidad y del comportamiento en adultos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos de los hábitos y de los impulsos
F64,CAPITULO V,Trastornos de la personalidad y del comportamiento en adultos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos de la identidad de genero
F65,CAPITULO V,Trastornos de la personalidad y del comportamiento en adultos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos de la preferencia sexual
F66,CAPITULO V,Trastornos de la personalidad y del comportamiento en adultos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos psicológicos y del comportamiento asociados con el desarrollo y con la orientación sexuales
F68,CAPITULO V,Trastornos de la personalidad y del comportamiento en adultos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Otros trastornos de la personalidad y del comportamiento en adultos
F69,CAPITULO V,Trastornos de la personalidad y del comportamiento en adultos,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Trastorno de la personalidad y del comportamiento en adultos, no especificado"
F70,CAPITULO V,Retraso mental,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Retraso mental leve
F71,CAPITULO V,Retraso mental,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Retraso mental moderado
F72,CAPITULO V,Retraso mental,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Retraso mental grave
F73,CAPITULO V,Retraso mental,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Retraso mental profundo
F78,CAPITULO V,Retraso mental,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Otros tipos de retraso mental
F79,CAPITULO V,Retraso mental,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Retraso mental, no especificado"
F80,CAPITULO V,Trastornos del desarrollo psicológico,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos específicos del desarrollo del habla y del lenguaje
F81,CAPITULO V,Trastornos del desarrollo psicológico,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos específicos del desarrollo de las habilidades escolares
F82,CAPITULO V,Trastornos del desarrollo psicológico,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastorno especifico del desarrollo de la función motriz
F83,CAPITULO V,Trastornos del desarrollo psicológico,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos específicos mixtos del desarrollo
F84,CAPITULO V,Trastornos del desarrollo psicológico,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos generalizados del desarrollo
F88,CAPITULO V,Trastornos del desarrollo psicológico,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Otros trastornos del desarrollo psicológico
F89,CAPITULO V,Trastornos del desarrollo psicológico,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Trastorno del desarrollo psicológico, no especificado"
F90,CAPITULO V,Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez u en la adolescencia,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos hipercineticos
F91,CAPITULO V,Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez u en la adolescencia,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos de la conducta
F92,CAPITULO V,Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez u en la adolescencia,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos mixtos de la conducta y de las emociones
F93,CAPITULO V,Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez u en la adolescencia,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos emocionales de comienzo especifico en la niñez
F94,CAPITULO V,Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez u en la adolescencia,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos del comportamiento social de comienzo especifico en la niñez y en la adolescencia
F95,CAPITULO V,Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez u en la adolescencia,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Trastornos por tics
F98,CAPITULO V,Trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez u en la adolescencia,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,Otros trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia
F99,CAPITULO V,Trastorno mental no especificado,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,"Trastorno mental, no especificado"
G00,CAPITULO VI,Enfermedades inflamatorias del sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,"Meningitis bacteriana, no clasificada en otra parte"
G01,CAPITULO VI,Enfermedades inflamatorias del sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,Meningitis en enfermedades bacterianas clasificadas en otra parte
G02,CAPITULO VI,Enfermedades inflamatorias del sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,Meningitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
G03,CAPITULO VI,Enfermedades inflamatorias del sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,Meningitis debida a otras causas y a las no especificadas
G04,CAPITULO VI,Enfermedades inflamatorias del sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,"Encefalitis, mielitis y encefalomielitis"
G05,CAPITULO VI,Enfermedades inflamatorias del sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,"Encefalitis, mielitis y encefalomielitis en enfermedades clasificadas en otra parte"
G06,CAPITULO VI,Enfermedades inflamatorias del sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,Absceso y granuloma intracraneal e intrarraquideo
G07,CAPITULO VI,Enfermedades inflamatorias del sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,Absceso y granuloma intracraneal e intrarraquideo en enfermedades
G08,CAPITULO VI,Enfermedades inflamatorias del sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,Flebitis y tromboflebitis intracraneal e intrarraquidea
G09,CAPITULO VI,Enfermedades inflamatorias del sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,Secuelas de enfermedades inflamatorias del sistema nervioso central
G10,CAPITULO VI,Atrofias sistémicas que afectan principalmente el sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,Enfermedad de Huntington
G11,CAPITULO VI,Atrofias sistémicas que afectan principalmente el sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,Ataxia hereditaria
G12,CAPITULO VI,Atrofias sistémicas que afectan principalmente el sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,Atrofia muscular espinal y síndromes afines
G13,CAPITULO VI,Atrofias sistémicas que afectan principalmente el sistema nervioso central,ENFERMEDADES DEL SISTEMA NERVIOSO,Atrofias sistémicas que afectan primariamente el sistema nervioso central en enfermedades clasificadas en otra parte
G20,CAPITULO VI,Trastornos extrapiramidales y del movimiento,ENFERMEDADES DEL SISTEMA NERVIOSO,Enfermedad de Parkinson
